"","mc_region","region_name","state","mape","id","desc","date","qtt"
"293","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-05-01,821.858308590474
"294","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-06-01,751.20379172888
"295","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-07-01,764.133183023323
"296","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-08-01,735.859992354681
"297","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-09-01,745.255079961077
"298","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-10-01,741.507414288982
"299","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-11-01,703.863017682444
"300","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-12-01,723.728824329147
"301","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-01-01,755.462406341494
"302","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-02-01,745.510684141517
"303","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-03-01,841.094435844169
"304","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-04-01,815.716705984354
"305","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-05-01,821.858308590474
"306","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-06-01,751.20379172888
"307","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-07-01,764.133183023323
"308","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-08-01,735.859992354681
"309","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-09-01,745.255079961077
"310","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-10-01,741.507414288982
"311","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-11-01,703.863017682444
"312","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2025-12-01,723.728824329147
"313","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-01-01,1527
"314","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-02-01,1503
"315","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-03-01,1688
"316","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-04-01,1618
"317","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-05-01,1644
"318","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-06-01,1527
"319","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-07-01,1512
"320","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-08-01,1645
"321","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-09-01,1564
"322","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-10-01,1512
"323","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-11-01,1449
"324","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-12-01,1512
"325","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-01-01,1524
"326","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-02-01,1467
"327","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-03-01,1661
"328","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-04-01,1658
"329","5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-05-01,1697
